Title,,,Hazard,event_date,province,district,municipality,ward
"Landslide at Angare , Makawanpurgadhi Rural Municipality-5",,,Landslide,27/09/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Adamara , Netrawati Dabjong Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Lidekhola , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Aalung , Jugal Rural Municipality-2",,,Landslide,27/09/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Lakhanpur , Gokulganga Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Ramechhap,Gokulganga,4
Landslide at Suryagadhi Rural Municipality-4,,,Landslide,27/09/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Taruka Check Post , Suryagadhi Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Kolati , Panauti Municipality-12",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Panauti,12
"Landslide at Durlungkhala , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Dariyal Pakha , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Bhatpol, Mandandeupur Municipality-11",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Mandandeupur,11
"Landslide at Singhe, Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Simle, Bethanchowk Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Bethanchowk,4
"Landslide at Bhalukhola , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Sisneri / Lubhu Khola , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Ghusel , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
Landslide at Panauti Municipality-12,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Panauti,12
"Landslide at Chalalganesh , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Dumbar , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Mangaau , Bigu Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dolakha,Bigu,1
"Landslide at Shikhar Aambote , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Simat , Bakaiya Rural Municipality-12",,,Landslide,27/09/2024,Bagmati,Makwanpur,Bakaiya,12
"Landslide at Chyane , Jugal Rural Municipality-2",,,Landslide,27/09/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Torikhuriya , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Sidarechaur , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Chalal Ganesh , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
