S.No.,district,municipality,ward,Incident Place,event_date,Incident,,,,,,,,
278,Parsa,-,,,20/07/2013,Landslide,,,,,,,,
279,Rukum,-,,,22/07/2013,Landslide,,,,,,,,
280,Nawalparasi,Rakachuli,,,22/07/2013,Landslide,,,,,,,,
281,Arghakhanchi,-,,,22/07/2013,Landslide,,,,,,,,
282,Palpa,-,,,22/07/2013,Landslide,,,,,,,,
283,Myagdi,-,,,22/07/2013,Landslide,,,,,,,,
284,Shyanja,SEKHAM,,,22/07/2013,Landslide,,,,,,,,
285,Shyanja,-,,,22/07/2013,Landslide,,,,,,,,
286,Shyanja,KUWAKOT,,,22/07/2013,Landslide,,,,,,,,
287,Parbat,Pakhapani,,,22/07/2013,Landslide,,,,,,,,
288,Dolakha,Marbu,,,22/07/2013,Landslide,,,,,,,,
289,Mugu,Kimri,,,24/07/2013,Landslide,,,,,,,,
290,Palpa,Khanigaun,,,24/07/2013,Landslide,,,,,,,,
291,Bajhang,Lekgaun,,,25/07/2013,Landslide,,,,,,,,
292,Myagdi,-,,,25/07/2013,Landslide,,,,,,,,
293,Jajarkot,Khalanga,,,28/07/2013,Landslide,,,,,,,,
294,Jajarkot,Garkhakot,,,8/8/2013,Landslide,,,,,,,,
295,Rukum,-,,,12/8/2013,Landslide,,,,,,,,
296,Darchula,-,,,12/8/2013,Landslide,,,,,,,,
297,Jajarkot,Garkhakot,,,12/8/2013,Landslide,,,,,,,,
298,Jajarkot,Jhapra,,,13/08/2013,Landslide,,,,,,,,
299,Ramechhap,Khimti,,,13/08/2013,Landslide,,,,,,,,
300,Tanahu,-,,,15/08/2013,Landslide,,,,,,,,
301,Dailekh,Bishala,,,16/08/2013,Landslide,,,,,,,,
302,Kaski,-,,,16/08/2013,Landslide,,,,,,,,
303,Salyan,DHAKABANG,,,17/08/2013,Landslide,,,,,,,,
304,Dolpa,Pahada,,,18/08/2013,Landslide,,,,,,,,
305,Myagdi,Arman,,,19/08/2013,Landslide,,,,,,,,
306,Rolpa,-,,,27/08/2013,Landslide,,,,,,,,
307,Dang,GHORAHI,,,31/08/2013,Landslide,,,,,,,,
308,Baglung,-,,,2/9/2013,Landslide,,,,,,,,
309,Baglung,Devisthan,,,3/9/2013,Landslide,,,,,,,,
310,Baglung,Taman,,,3/9/2013,Landslide,,,,,,,,
311,Baglung,-,,,3/9/2013,Landslide,,,,,,,,
312,Baglung,Rajkut,,,3/9/2013,Landslide,,,,,,,,
313,Kaski,-,,,5/9/2013,Landslide,,,,,,,,
314,Dhankuta,-,,,5/9/2013,Landslide,,,,,,,,
315,Dhankuta,-,,,5/9/2013,Landslide,,,,,,,,
316,Makwanpur,-,,,6/9/2013,Landslide,,,,,,,,
317,Sindhupalchowk,-,,,9/9/2013,Landslide,,,,,,,,
318,Kailali,-,,,10/9/2013,Landslide,,,,,,,,
319,Khotang,Makpa,,,12/9/2013,Landslide,,,,,,,,
320,Palpa,-,,,28/09/2013,Landslide,,,,,,,,
321,Udayapur,Rupatar,,,30/09/2013,Landslide,,,,,,,,
322,Sunsari,Mahendranagar,,,3/10/2013,Landslide,,,,,,,,
323,Parbat,-,,,6/10/2013,Landslide,,,,,,,,
324,Shyanja,ALAMDEVI,,,1/11/2013,Landslide,,,,,,,,
325,Sindhupalchowk,-,,,12/12/2013,Landslide,,,,,,,,
326,Doti,Daud,,,9/4/2014,Landslide,,,,,,,,
327,Ilam,-,,,22/04/2014,Landslide,,,,,,,,
328,Dadeldhura,-,,,27/05/2014,Landslide,,,,,,,,
329,Pyuthan,Khung,,,19/06/2014,Landslide,,,,,,,,
330,Gulmi,Aglung,,,19/06/2014,Landslide,,,,,,,,
331,Gulmi,Dohali,,,19/06/2014,Landslide,,,,,,,,
332,Gulmi,Aglung,,,19/06/2014,Landslide,,,,,,,,
333,Gulmi,Aglung,,,19/06/2014,Landslide,,,,,,,,
334,Gulmi,Aglung,,,19/06/2014,Landslide,,,,,,,,
335,Gulmi,Aglung,,,19/06/2014,Landslide,,,,,,,,
336,Gulmi,Aglung,,,19/06/2014,Landslide,,,,,,,,
337,Gulmi,Aglung,,,19/06/2014,Landslide,,,,,,,,
